device_id,name,ip_address,port,current_username,current_use_telnet,error_message,payload_name_matches,payload_ip_port_matches,match_rule
d13eb6ef-93fa-4fee-9192-5893437452d4,ZABBIX - MARTINS,45.176.142.106,3022,ajust,False,A conexao SSH foi fechada ou a senha do usuario 'ajust' esta incorreta. Erro: TCP connection to device failed.  Common causes of this problem are: 1. Incorrect hostname or IP address. 2. Wrong TCP port. 3. Intermediate firewall blocking access.  Devi,0,0,
4de2b03d-344f-4f2f-9425-379d01877059,Rb 750 PDP-RTD-Esc PGI,177.125.14.21,2223,ajust,False,"A conexao foi fechada, recusada ou as credenciais estao incorretas. Detalhe: NetmikoAuthenticationException: Authentication to device failed.  Common causes of this problem are: 1. Invalid username and password 2. Incorrect SSH-key file 3. Connecting",0,0,
953463cf-946f-4968-9476-d71d1d421438,Switch Paratibe,45.5.88.78,22461,conect,False,"A conexao foi fechada, recusada ou as credenciais estao incorretas. Detalhes: huawei: NetmikoAuthenticationException: Authentication to device failed.  Common causes of this problem are: 1. Invalid username and password 2. Incorrect SSH-key file 3. C",0,0,
b2540db7-d509-4c6a-83a8-558500a56567,SW-3064-DATACENTER,10.12.255.250,23,ajust,True,"A conexao foi fechada, recusada ou as credenciais estao incorretas. Detalhes: cisco_ios_telnet: NetmikoAuthenticationException: Login failed: 10.12.255.250; huawei_telnet: ReadTimeout:   Pattern not detected: '(?:Change now|Please choose|[\\]>])' in ",0,0,
05ebdd69-8f96-4876-a2ce-d3eb11d9c0f7,BORDA-MEGALINK,45.160.220.1,15421,ajust,False,"A conexao foi fechada, recusada ou as credenciais estao incorretas. Detalhe: NetmikoAuthenticationException: Authentication to device failed.  Common causes of this problem are: 1. Invalid username and password 2. Incorrect SSH-key file 3. Connecting",0,0,
a8a4c39d-9208-4354-9eec-fc55c2cff962,GRAFANA - NAVEGANET,160.19.44.62,3000,admin,False,A conexão foi fechada ou as credenciais (API Key) estão incorretas.,0,0,
96ce20ac-6c7a-4b8b-9d27-e59038e46a96,GRAFANA - CELL,190.89.232.1,3003,admin,False,A conexão foi fechada ou as credenciais (API Key) estão incorretas.,0,0,
7984fa9d-ee22-4f3a-9ceb-b84190735710,Ccr hEX Esc Acau,177.125.8.165,2223,ajust,False,"A conexao foi fechada, recusada ou as credenciais estao incorretas. Detalhe: NetmikoAuthenticationException: Authentication to device failed.  Common causes of this problem are: 1. Invalid username and password 2. Incorrect SSH-key file 3. Connecting",0,0,
2abcda04-7082-4823-a419-3da713f4fad7,GRAFANA,170.150.139.249,2008,admin,False,A conexão foi fechada ou as credenciais (API Key) estão incorretas.,0,0,
2e816b41-e715-42f9-a6ba-d1fc2211e524,CCR 1036 Concentrador Sitio Frazao,177.125.8.214,2223,ajust,False,"A conexao foi fechada, recusada ou as credenciais estao incorretas. Detalhe: NetmikoAuthenticationException: Authentication to device failed.  Common causes of this problem are: 1. Invalid username and password 2. Incorrect SSH-key file 3. Connecting",0,0,
