device_id,name,group,type,ip_address,port,username,name_matches,ip_kind_matches
604880e9-605e-4852-a5e7-e8753296028b,RB 3011,G5 - Piedade,MikroTik RouterOS,192.141.105.40,15422,ajust,0,0
59d6631a-346d-4e8a-92c0-f5977e55c9bc,PROLINK-CONCENTRADOR-AURORA,Future Telecom - Cliente Cancelado,MikroTik RouterOS,45.168.142.129,22,ajust,0,0
a4d418c8-97a0-4545-a2bb-0aefddbc5111,Gerencia Vibe,Vibe,MikroTik RouterOS,187.17.137.188,15422,ajust,0,0
eb6a1efd-814a-48f1-8d86-943d589c80ca,RB Bar da praia (cupê),Rio Net,MikroTik RouterOS,45.162.227.28,15422,ajust,0,0
79bd0437-5884-434a-8621-f0db298ed3a7,CRS317 - MIRUEIRA II,AF Telecom,MikroTik RouterOS,179.51.148.10,15423,ajust,0,0
39b52f1a-f2c7-4bea-a26e-a40ac0f3d7a8,RB 4011 GERENCIA,Martins Telecom - Cliente Cancelado,MikroTik RouterOS,45.176.142.106,15422,ajust,0,0
faf3f89b-0077-4815-b095-64444f921ac8,CCR2004 - MATRIZ DA LUZ,G5 - Jaboatão,MikroTik RouterOS,192.141.105.10,2222,ajust,0,0
64a1bf5f-63fb-41c6-9c43-51cd2920c384,CCR VPLS - ESCOLA BRASIL,Infotel,MikroTik RouterOS,170.150.136.56,26138,ajust,0,0
8a2dcdda-5a28-4afe-83fa-b3f90279689f,Autenticador 01 Qualynet,QualyNet,MikroTik RouterOS,170.79.169.254,2215,ajustconsulting,0,0
d37d95b8-8981-450f-8e66-827224cdcf50,OLT CONECTA,G5 - Will,OLT Huawei,201.71.4.46,22,ajustconsul,0,0
12b967be-22d2-420e-b3e6-55e603f930b4,GRUPO TELECOM - ROUTER - HW NE20 AUT/BORDA,Grupo Telecom,Router Huawei,181.225.170.1,2203,ajustconsulting,0,0
4e8cd6bd-1d22-4d5a-9274-a495c74552b3,NEW CONNECT - ROUTER - HW NE8000 BORDA,New Connect,Router Huawei,128.201.78.245,22120,ericcastro,0,0
5856d82c-c339-44d6-a7df-feac685fe0bb,RB Gerência - VESCNET,Grupo Vesc,MikroTik RouterOS,201.76.98.98,15422,ajust,0,0
441850c1-28b9-415e-ac38-dfcb66f9c092,Rb 3011 Laguna,Rio Net,MikroTik RouterOS,45.162.225.122,31022,ajust,0,0
888c4346-5f07-46bf-8e83-4aacb6478961,CGNAT,Grupo Telecom,MikroTik RouterOS,181.225.170.5,15422,ajust,0,0
4fa53031-45de-4f3f-9dc6-a609b6755122,GRUPO FLASH - ROUTER - HW NE20 AUT/BORDA,Grupo FlashNet ( IBTelecom ),Router Huawei,170.79.170.130,53267,ajustconsulting,0,0
50aff9e0-993e-4d67-bcf8-b8fd5bc482c0,OLT DATACOM CAMARAGIBE,Martins Telecom - Cliente Cancelado,OLT Datacom,45.176.142.106,23030,ajustconsulting,0,0
cf659762-a5e6-426f-87a3-1d2938c95560,Switch Huawei S5720 Porto de Galinhas,Meganet,Switch Huawei,45.176.56.240,10443,ajust,0,0
c1d4ceb6-3894-482c-8b62-60840c64aa32,Rb 4011 Lojas Americanas,Rio Net,MikroTik RouterOS,45.162.227.215,15422,ajust,0,0
6f8e24be-95b3-416d-8982-1155467e67d4,RB 3011 CLIENTE ELO SOLUCOES,Gmax São Lourenço,MikroTik RouterOS,164.163.22.49,15422,ajust,0,0
f806425d-8456-4937-95fb-90f5fce65166,MikroTik-4011-ESCRITORIO,QualyNet,MikroTik RouterOS,168.194.13.88,15422,ajust,0,0
3ac962e9-3d09-4dd6-b698-5f3e77db2370,RB 3011 CONCENTRADOR BOTAFOGO,HomeNet,MikroTik RouterOS,179.49.144.2,2231,ajust,0,0
4ddfaa92-ff5a-4de7-905a-50220056b195,CCR 4011 - Fortaleza,Voice Corp,MikroTik RouterOS,168.232.84.141,15422,ajust,0,0
5c3687b1-a59a-4093-9b8a-21e4881777a4,RB 2011 - COMERCIAL BEZERRA - MARANGUAPE,FlashNet,MikroTik RouterOS,170.79.169.92,15422,ajust,0,0
1f76c275-9884-4340-a7cc-cec0ccd7173b,VIBE TELECOM - ROUTER - HW NE8000 AUT,Vibe,Router Huawei,168.194.14.144,53267,ajustconsulting,0,0
c3427a0f-6adb-4bbd-b950-d5f040737650,CCR 1036 CGNAT,JaNet,MikroTik RouterOS,190.89.233.128,15422,ajust,0,0
8006c7df-48cc-42f3-a92c-f97f9b5fcb6e,CCR1009-FIREWALL-PPPOE,Um Fibra,MikroTik RouterOS,177.36.7.202,15422,ajust,0,0
aa3537c8-8d3d-471c-9e65-251451aea6a7,Switch TPLink- BVNET,BVNet,Switch TP-LINK,192.168.230.2,22,ajust,0,0
c5c7ebdd-09ea-461d-9e33-46a5a05c9686,Ccr 1072 Autenticador Rionet Ipojuca,Rio Net,MikroTik RouterOS,45.162.224.126,15422,ajust,0,0
fd029589-09b8-43bf-80a4-bd43341889c8,RB3011 - Gerencia,I4 Telecom,MikroTik RouterOS,45.187.169.228,15422,ajust,0,0
99b74805-e924-48d5-aa25-27b7f89e137a,Autenticador Inocoop,Cavalcanti Net,MikroTik RouterOS,170.84.85.232,2229,ajust,0,0
